               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 132,            0.014233,            0.010099,           0.0012109,             0.82967,             0.86549,             0.89739,              0.7475,             0.01747,             0.01509,            0.009699,            0.001354,            0.001354,            0.001354
                 133,            0.013839,            0.010497,            0.001161,              0.8687,             0.85026,             0.90074,             0.75072,            0.017513,            0.014922,            0.009072,            0.001288,            0.001288,            0.001288
                 134,            0.013864,            0.010004,          0.00099256,             0.88061,             0.83463,              0.8931,             0.74606,            0.017562,            0.015101,           0.0094012,            0.001222,            0.001222,            0.001222
                 135,            0.013811,            0.010094,           0.0011033,             0.83195,             0.86021,             0.89581,             0.73825,            0.017501,            0.014931,            0.010156,            0.001156,            0.001156,            0.001156
                 136,             0.01391,            0.010023,           0.0012724,             0.83988,             0.85167,              0.8954,              0.7435,            0.017735,            0.015018,            0.010478,             0.00109,             0.00109,             0.00109
                 137,            0.013911,            0.010101,           0.0011339,             0.87491,             0.82575,             0.89331,             0.73849,            0.017599,            0.014827,            0.010449,            0.001024,            0.001024,            0.001024
                 138,            0.013279,           0.0093615,          0.00090444,             0.84797,              0.8504,             0.89802,             0.74292,            0.017788,            0.015186,            0.010412,            0.000958,            0.000958,            0.000958
                 139,            0.013822,            0.010235,           0.0011509,             0.81608,             0.87021,             0.89674,             0.74125,            0.017684,            0.014992,            0.010712,            0.000892,            0.000892,            0.000892
                 140,            0.013256,           0.0096893,          0.00096645,             0.87044,             0.82985,             0.89729,             0.74496,            0.017569,            0.014797,            0.010454,            0.000826,            0.000826,            0.000826
                 141,            0.013819,            0.010124,           0.0011187,             0.84159,             0.84594,             0.89756,              0.7447,            0.017515,            0.014707,             0.01049,             0.00076,             0.00076,             0.00076
                 142,            0.013653,           0.0098592,           0.0010987,             0.86302,             0.83526,             0.89763,             0.74591,            0.017557,            0.014848,            0.010097,            0.000694,            0.000694,            0.000694
                 143,            0.012994,             0.00944,           0.0008797,             0.86271,             0.83468,             0.89963,             0.74584,            0.017677,            0.015044,            0.009715,            0.000628,            0.000628,            0.000628
                 144,              0.0135,           0.0096967,           0.0010439,             0.86595,             0.85594,             0.90297,             0.74888,            0.017639,            0.015109,           0.0096026,            0.000562,            0.000562,            0.000562
                 145,            0.013539,           0.0099189,           0.0010577,             0.87046,             0.85594,             0.90162,             0.74936,            0.017497,            0.014884,           0.0095105,            0.000496,            0.000496,            0.000496
                 146,            0.013203,           0.0096696,           0.0009786,             0.83456,             0.87413,             0.90049,             0.74896,            0.017578,            0.014971,           0.0097602,             0.00043,             0.00043,             0.00043
                 147,            0.013978,           0.0097696,            0.001119,             0.83785,             0.87808,             0.90146,              0.7464,            0.017559,            0.014845,           0.0097903,            0.000364,            0.000364,            0.000364
                 148,            0.013352,           0.0095659,           0.0011274,             0.85712,             0.84667,             0.90149,             0.74476,            0.017472,            0.014784,            0.009911,            0.000298,            0.000298,            0.000298
                 149,            0.013202,             0.00916,          0.00097691,             0.86758,             0.84667,             0.90094,             0.74335,             0.01748,            0.014605,           0.0098789,            0.000232,            0.000232,            0.000232
